                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.85746,                0.55631,                 1.0763,                0.75259,                0.47355,                  0.526,                0.37776,                0.96802,                 0.7393,                 1.1548,             0.00044005,             0.00044005,             0.00044005
                     36,                0.87625,                0.56396,                 1.0894,                0.75426,                0.47031,                0.52761,                 0.3792,                0.96339,                0.73723,                 1.1545,             0.00043752,             0.00043752,             0.00043752
                     37,                0.88241,                0.55675,                 1.0594,                0.79085,                0.46878,                0.53109,                0.38207,                0.96608,                0.73744,                 1.1606,               0.000435,               0.000435,               0.000435
                     38,                0.85733,                0.54856,                 1.0796,                0.74498,                0.47741,                0.52796,                0.37608,                0.97222,                0.74693,                 1.1525,             0.00043247,             0.00043247,             0.00043247
                     39,                0.88585,                0.56593,                 1.0755,                0.72782,                0.48382,                0.53235,                0.38338,                0.96184,                0.74096,                 1.1507,             0.00042994,             0.00042994,             0.00042994
                     40,                0.82101,                0.53994,                 1.0772,                0.74987,                0.47501,                0.53208,                0.38339,                0.97354,                0.73538,                 1.1602,             0.00042741,             0.00042741,             0.00042741
                     41,                0.87254,                0.55445,                  1.079,                 0.7122,                0.48489,                 0.5222,                0.37625,                0.97117,                0.74255,                 1.1515,             0.00042537,             0.00042537,             0.00042537
                     42,                0.84711,                0.54253,                 1.0743,                0.75177,                0.47786,                0.53216,                0.38163,                0.96762,                0.73717,                 1.1691,             0.00042286,             0.00042286,             0.00042286
                     43,                0.83396,                 0.5376,                 1.0997,                0.74056,                0.48295,                0.53124,                0.38108,                0.95877,                 0.7306,                 1.1636,             0.00041983,             0.00041983,             0.00041983
                     44,                0.84694,                0.54104,                  1.067,                0.75288,                0.48807,                0.54081,                0.39101,                0.95079,                0.73722,                 1.1606,             0.00041783,             0.00041783,             0.00041783
                     45,                0.85913,                 0.5429,                 1.0678,                0.75648,                0.47936,                0.53258,                0.38539,                0.96113,                0.73683,                 1.1623,             0.00041531,             0.00041531,             0.00041531
                     46,                0.86487,                0.54879,                 1.0799,                0.74791,                0.47257,                0.53154,                0.38379,                0.96045,                0.73278,                 1.1728,              0.0004128,              0.0004128,              0.0004128
                     47,                0.83597,                0.53258,                 1.0755,                0.76132,                0.47548,                0.53294,                0.38211,                0.96256,                0.73304,                   1.16,             0.00041028,             0.00041028,             0.00041028
                     48,                0.84512,                0.53998,                 1.0719,                0.75645,                0.47842,                0.53738,                 0.3842,                0.95866,                0.74361,                 1.1475,             0.00040776,             0.00040776,             0.00040776
                     49,                0.82735,                0.53159,                 1.0684,                0.73958,                0.47698,                0.53303,                0.38568,                0.95849,                0.73909,                 1.1541,             0.00040525,             0.00040525,             0.00040525
                     50,                0.83512,                0.53646,                 1.0628,                0.73025,                0.48348,                0.52496,                 0.3767,                0.95832,                 0.7331,                 1.1654,             0.00040273,             0.00040273,             0.00040273
                     51,                0.83771,                0.58516,                  1.068,                0.73995,                 0.4729,                0.52454,                0.37726,                0.95398,                0.74052,                 1.1542,             0.00040022,             0.00040022,             0.00040022
                     52,                0.84806,                 0.5459,                 1.0735,                0.74181,                0.47447,                0.52979,                0.37994,                0.96445,                0.74411,                 1.1462,              0.0003977,              0.0003977,              0.0003977
                     53,                0.83935,                0.53405,                 1.0571,                 0.7148,                0.47346,                 0.5259,                0.37594,                0.96329,                 0.7509,                 1.1586,             0.00039519,             0.00039519,             0.00039519
