                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.83281,                0.53497,                 1.0781,                0.72591,                0.50217,                0.54533,                0.39876,                0.95433,                0.74055,                 1.1786,              0.0004187,              0.0004187,              0.0004187
                     36,                0.80908,                0.52046,                 1.0808,                  0.731,                0.50109,                0.55269,                0.40537,                0.94192,                 0.7207,                  1.202,             0.00041554,             0.00041554,             0.00041554
                     37,                0.81952,                0.52308,                 1.0797,                0.73456,                0.49821,                 0.5454,                0.39846,                 0.9273,                0.72403,                 1.1603,             0.00041238,             0.00041238,             0.00041238
                     38,                0.82888,                0.52563,                 1.0694,                0.78065,                 0.4984,                0.55885,                0.40512,                0.94405,                0.73016,                  1.157,             0.00040993,             0.00040993,             0.00040993
                     39,                 0.8291,                0.52761,                 1.0801,                0.75771,                0.49135,                0.55208,                 0.4006,                0.94895,                0.73206,                 1.1679,             0.00040679,             0.00040679,             0.00040679
                     40,                0.80868,                0.52225,                 1.0705,                0.74583,                0.49559,                0.54786,                0.39981,                0.94064,                0.76171,                 1.1559,             0.00040366,             0.00040366,             0.00040366
                     41,                0.81729,                0.52023,                 1.0714,                0.75344,                0.49156,                0.54926,                0.40405,                 0.9309,                0.73896,                 1.1647,             0.00040052,             0.00040052,             0.00040052
                     42,                0.82107,                0.52027,                 1.0829,                0.75474,                0.49509,                0.54949,                0.39796,                0.94653,                0.74406,                 1.1689,             0.00039738,             0.00039738,             0.00039738
                     43,                0.80826,                0.51475,                 1.0709,                0.75514,                0.49587,                0.55149,                0.40474,                 0.9439,                0.73525,                 1.1522,             0.00039425,             0.00039425,             0.00039425
                     44,                0.81335,                0.51478,                 1.0784,                0.74435,                0.50066,                0.54665,                0.39683,                0.94099,                0.73427,                 1.1676,             0.00039111,             0.00039111,             0.00039111
                     45,                0.80176,                0.51132,                 1.0716,                0.74858,                0.50031,                0.55028,                0.40089,                0.95545,                0.73101,                 1.1714,             0.00038797,             0.00038797,             0.00038797
                     46,                0.79458,                0.50688,                 1.0831,                0.73714,                0.50548,                0.55607,                0.40629,                0.93664,                0.72674,                 1.1662,             0.00038484,             0.00038484,             0.00038484
                     47,                  0.786,                0.50112,                 1.0678,                0.76537,                 0.4965,                0.55218,                0.40189,                0.93485,                0.73219,                 1.1516,              0.0003817,              0.0003817,              0.0003817
                     48,                0.78663,                0.50132,                  1.065,                0.73875,                0.49873,                0.55508,                0.40609,                0.93613,                 0.7423,                 1.1707,             0.00037856,             0.00037856,             0.00037856
                     49,                 0.8009,                  0.506,                 1.0648,                0.72834,                0.49552,                 0.5499,                0.40105,                0.94403,                0.74439,                 1.1851,             0.00037542,             0.00037542,             0.00037542
                     50,                 0.7835,                0.50047,                 1.0728,                0.73905,                0.49706,                0.55146,                0.40503,                 0.9289,                0.73229,                 1.1832,             0.00037229,             0.00037229,             0.00037229
                     51,                0.80838,                0.51775,                 1.0704,                0.72945,                0.50254,                0.54987,                0.40214,                0.93792,                0.73991,                 1.1594,             0.00036915,             0.00036915,             0.00036915
                     52,                0.79192,                0.50235,                 1.0616,                0.75497,                0.50102,                0.55438,                0.40559,                0.93689,                0.73588,                 1.1519,             0.00036601,             0.00036601,             0.00036601
                     53,                0.80772,                  0.504,                 1.0617,                0.79062,                0.48464,                0.55403,                0.40385,                0.94589,                0.74264,                  1.157,             0.00036288,             0.00036288,             0.00036288
                     54,                0.77296,                 0.4905,                 1.0686,                0.75956,                0.49395,                0.55336,                0.40164,                 0.9411,                 0.7492,                 1.1655,             0.00035974,             0.00035974,             0.00035974
                     55,                0.79225,                0.50268,                 1.0586,                0.74895,                0.50309,                0.55726,                0.40793,                0.93186,                0.73074,                 1.1872,              0.0003566,              0.0003566,              0.0003566
                     56,                0.76759,                 0.4879,                 1.0658,                 0.7542,                0.50008,                0.55534,                0.40675,                 0.9243,                0.71559,                 1.1585,             0.00035347,             0.00035347,             0.00035347
                     57,                0.78208,                0.49576,                 1.0671,                0.74354,                0.49811,                0.55189,                0.40798,                0.92445,                0.73045,                  1.163,             0.00035033,             0.00035033,             0.00035033
