                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.99234,                0.66146,                 1.1045,                0.74698,                0.43322,                0.49116,                0.34736,                 1.0453,                0.78809,                 1.1808,             0.00040473,             0.00040473,             0.00040473
                     36,                 1.0093,                0.66671,                 1.1249,                0.71765,                0.44124,                0.49106,                0.34699,                 1.0364,                 0.7886,                 1.1601,              0.0004003,              0.0004003,              0.0004003
                     37,                 1.0147,                0.65166,                 1.0908,                0.69151,                0.45725,                0.49173,                0.34891,                 1.0407,                0.78477,                 1.1565,              0.0003976,              0.0003976,              0.0003976
                     38,                0.98821,                0.64696,                 1.1066,                0.73449,                0.44767,                0.48968,                0.34403,                 1.0407,                0.78707,                 1.1608,             0.00039403,             0.00039403,             0.00039403
                     39,                 1.0258,                0.67382,                 1.1023,                0.68167,                0.44826,                0.48216,                0.34305,                 1.0426,                0.78946,                 1.1641,             0.00039046,             0.00039046,             0.00039046
                     40,                0.94448,                0.63443,                 1.1076,                0.70083,                0.45474,                0.49485,                0.34782,                 1.0473,                0.79595,                 1.1639,              0.0003869,              0.0003869,              0.0003869
                     41,                 1.0177,                0.66205,                  1.108,                0.70763,                0.45048,                0.49367,                 0.3489,                 1.0433,                0.77999,                 1.1622,             0.00038333,             0.00038333,             0.00038333
                     42,                0.98048,                0.64701,                 1.1005,                0.73378,                0.43958,                0.49191,                0.34336,                 1.0452,                0.78243,                 1.1789,             0.00037976,             0.00037976,             0.00037976
                     43,                0.96373,                0.64162,                 1.1308,                0.71692,                0.44385,                0.48981,                0.34585,                 1.0265,                0.78104,                 1.1635,              0.0003762,              0.0003762,              0.0003762
                     44,                0.98131,                0.64465,                 1.0972,                 0.7052,                0.45037,                0.49192,                0.34735,                 1.0383,                0.78608,                  1.179,             0.00037263,             0.00037263,             0.00037263
                     45,                0.99505,                0.64727,                  1.097,                0.70378,                0.45401,                0.49349,                0.34769,                 1.0315,                0.77818,                 1.1649,             0.00036906,             0.00036906,             0.00036906
                     46,                 1.0071,                0.65114,                 1.1048,                0.70873,                0.44666,                0.49426,                0.34743,                 1.0437,                0.78718,                 1.1705,             0.00036439,             0.00036439,             0.00036439
                     47,                0.97478,                0.63648,                 1.1069,                0.72152,                0.44066,                0.49203,                0.34702,                 1.0364,                0.78479,                 1.1624,              0.0003608,              0.0003608,              0.0003608
                     48,                0.98054,                 0.6429,                 1.1025,                 0.7404,                0.44078,                 0.4922,                0.34593,                 1.0433,                0.78967,                 1.1735,             0.00035721,             0.00035721,             0.00035721
