                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.9561,                 1.4833,                 1.5956,                 0.5603,                0.25419,                0.25383,                0.14457,                 1.8959,                 1.4902,                 1.6173,             0.00044176,             0.00044176,             0.00044176
                     35,                 1.9232,                 1.4824,                 1.5572,                0.64369,                0.23798,                0.25405,                0.14802,                 1.8718,                 1.4872,                 1.6061,             0.00043921,             0.00043921,             0.00043921
                     36,                 1.9442,                 1.4625,                 1.5635,                  0.644,                0.23278,                0.25112,                0.15004,                 1.8499,                 1.5128,                 1.6196,             0.00043666,             0.00043666,             0.00043666
                     37,                 1.9293,                 1.4244,                 1.5177,                0.55884,                0.24216,                0.24973,                0.14451,                 1.8427,                 1.5072,                 1.6129,              0.0004341,              0.0004341,              0.0004341
                     38,                 1.8789,                 1.4143,                 1.5391,                0.60834,                0.24869,                0.26129,                0.15245,                 1.8641,                 1.4612,                 1.5967,             0.00043155,             0.00043155,             0.00043155
                     39,                 1.9124,                 1.4269,                 1.5274,                0.54857,                0.25527,                0.25758,                0.14953,                 1.8602,                   1.54,                 1.6026,               0.000429,               0.000429,               0.000429
                     40,                 1.7916,                 1.3751,                 1.5294,                0.59534,                0.25868,                0.25988,                0.15079,                 1.8239,                  1.494,                  1.597,             0.00042645,             0.00042645,             0.00042645
                     41,                 1.8766,                 1.3956,                 1.5073,                0.60762,                0.24412,                0.24937,                 0.1456,                 1.8103,                 1.5826,                  1.585,             0.00042439,             0.00042439,             0.00042439
                     42,                 1.8185,                 1.3751,                 1.5335,                0.60826,                0.25546,                0.26056,                0.15502,                 1.7844,                 1.5003,                 1.6042,             0.00042185,             0.00042185,             0.00042185
                     43,                 1.8118,                 1.3701,                 1.5426,                 0.6565,                0.24619,                0.26189,                0.15536,                  1.814,                 1.5233,                  1.553,             0.00041931,             0.00041931,             0.00041931
                     44,                 1.8131,                 1.3616,                 1.4886,                 0.5808,                0.26543,                0.27081,                0.15873,                 1.7829,                 1.4231,                 1.5743,             0.00041677,             0.00041677,             0.00041677
                     45,                 1.8049,                 1.3387,                 1.4807,                0.62585,                0.26537,                0.27308,                0.16527,                 1.7507,                 1.4195,                 1.5707,             0.00041423,             0.00041423,             0.00041423
                     46,                  1.816,                 1.3379,                 1.4996,                0.61844,                0.26288,                0.27467,                0.16346,                  1.755,                 1.4086,                  1.608,             0.00041169,             0.00041169,             0.00041169
                     47,                 1.7694,                 1.3161,                 1.5044,                0.65552,                0.26704,                0.27324,                0.16014,                 1.7394,                 1.4077,                 1.5274,             0.00040915,             0.00040915,             0.00040915
                     48,                 1.7659,                 1.3232,                 1.4767,                0.52656,                0.27122,                0.27885,                0.16683,                 1.7251,                 1.3687,                 1.5211,             0.00040661,             0.00040661,             0.00040661
                     49,                 1.7426,                 1.3211,                 1.4841,                0.63278,                0.26124,                0.27853,                0.16816,                 1.7236,                 1.4073,                 1.4864,             0.00040407,             0.00040407,             0.00040407
                     50,                 1.7414,                 1.3055,                 1.4722,                0.60566,                0.27555,                 0.2806,                0.16738,                  1.711,                 1.3694,                 1.5119,             0.00040153,             0.00040153,             0.00040153
                     51,                 1.7777,                 1.5497,                 1.4832,                0.63791,                0.27471,                0.28327,                0.16958,                 1.6886,                 1.4486,                 1.5055,             0.00039899,             0.00039899,             0.00039899
                     52,                 1.7534,                 1.3307,                 1.4701,                0.63676,                 0.2695,                0.28313,                 0.1687,                 1.7301,                 1.3826,                 1.5036,             0.00039645,             0.00039645,             0.00039645
                     53,                 1.7321,                 1.2913,                 1.4489,                0.65508,                0.27839,                0.28959,                0.17332,                 1.6954,                 1.3514,                 1.5052,             0.00039391,             0.00039391,             0.00039391
                     54,                 1.6987,                 1.2636,                  1.461,                0.64462,                0.27344,                 0.2827,                0.17041,                 1.6959,                 1.3966,                 1.4927,             0.00039137,             0.00039137,             0.00039137
                     55,                 1.6984,                 1.2578,                 1.4684,                0.65576,                 0.2808,                0.29183,                0.17659,                 1.6716,                 1.3677,                 1.4768,             0.00038883,             0.00038883,             0.00038883
