                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.99572,                0.66281,                 1.1057,                0.72107,                 0.4491,                0.49287,                0.34844,                 1.0392,                0.78895,                 1.1661,             0.00044088,             0.00044088,             0.00044088
                     36,                 1.0122,                0.66649,                 1.1188,                0.74375,                 0.4428,                0.48876,                0.34646,                 1.0447,                0.79416,                  1.162,             0.00043795,             0.00043795,             0.00043795
                     37,                 1.0171,                0.65635,                 1.0939,                0.72849,                0.44621,                0.49044,                0.34816,                 1.0404,                0.79474,                 1.1536,             0.00043544,             0.00043544,             0.00043544
                     38,                0.99037,                0.64778,                 1.1079,                0.73191,                0.44317,                0.48502,                0.33988,                 1.0475,                0.79506,                 1.1623,             0.00043292,             0.00043292,             0.00043292
                     39,                 1.0309,                0.67677,                  1.104,                0.73507,                0.43906,                0.48642,                 0.3452,                  1.047,                0.80337,                 1.1687,             0.00043086,             0.00043086,             0.00043086
                     40,                0.95001,                0.63824,                 1.1075,                0.73319,                0.43561,                0.48789,                0.34211,                 1.0479,                0.80913,                 1.1609,             0.00042836,             0.00042836,             0.00042836
                     41,                 1.0219,                0.66351,                 1.1109,                0.70278,                0.44774,                0.49109,                0.34677,                 1.0457,                0.78899,                 1.1643,             0.00042586,             0.00042586,             0.00042586
                     42,                0.98333,                0.64973,                 1.1032,                 0.7204,                0.44083,                0.48498,                 0.3403,                 1.0516,                 0.7986,                 1.1753,             0.00042335,             0.00042335,             0.00042335
                     43,                0.97203,                  0.645,                 1.1299,                 0.7209,                0.44315,                0.48954,                0.34535,                 1.0331,                0.78463,                 1.1715,             0.00042085,             0.00042085,             0.00042085
                     44,                0.98821,                0.64898,                 1.1032,                0.72529,                0.43731,                 0.4866,                 0.3449,                 1.0389,                0.78964,                 1.1688,             0.00041835,             0.00041835,             0.00041835
                     45,                 1.0014,                0.65065,                 1.0992,                0.73912,                   0.44,                0.48615,                0.34014,                 1.0386,                0.78209,                 1.1666,             0.00041584,             0.00041584,             0.00041584
                     46,                 1.0095,                0.65434,                 1.1089,                0.71184,                0.44322,                0.49407,                0.34644,                 1.0412,                 0.7882,                 1.1722,             0.00041334,             0.00041334,             0.00041334
                     47,                 0.9769,                0.64009,                 1.1113,                0.73277,                0.44786,                0.49238,                0.34606,                 1.0424,                0.79216,                 1.1626,             0.00041084,             0.00041084,             0.00041084
                     48,                0.98557,                0.64763,                 1.1029,                0.70927,                0.44568,                0.48405,                0.34218,                 1.0463,                0.79455,                 1.1702,             0.00040833,             0.00040833,             0.00040833
                     49,                0.96897,                0.64062,                 1.1006,                0.70976,                0.45139,                0.48986,                0.34427,                  1.048,                0.79616,                 1.1674,             0.00040583,             0.00040583,             0.00040583
                     50,                0.96875,                0.64346,                 1.0955,                0.75869,                0.44236,                 0.4936,                0.34798,                 1.0366,                 0.7869,                 1.1769,             0.00040333,             0.00040333,             0.00040333
