                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6424,                 1.1306,                 1.3359,                0.72275,                0.42275,                0.45038,                0.25322,                 1.6062,                   1.26,                 1.4045,              0.0008659,              0.0008659,              0.0008659
                     36,                 1.6114,                 1.1066,                 1.3272,                0.70085,                0.43739,                0.44415,                0.24707,                 1.5695,                  1.242,                 1.4345,             0.00086195,             0.00086195,             0.00086195
                     37,                 1.6329,                 1.1177,                 1.3334,                0.54309,                0.43212,                0.46031,                0.26326,                 1.5427,                 1.2297,                 1.4047,             0.00085801,             0.00085801,             0.00085801
                     38,                 1.6166,                  1.092,                 1.3161,                0.73093,                0.44357,                0.45943,                0.25839,                 1.5543,                 1.1461,                 1.4036,             0.00085406,             0.00085406,             0.00085406
                     39,                 1.5898,                  1.106,                 1.3468,                0.73458,                0.42823,                 0.4615,                0.26646,                 1.5422,                 1.2355,                 1.4075,             0.00085012,             0.00085012,             0.00085012
                     40,                 1.5954,                 1.0644,                 1.3156,                0.72208,                0.45205,                0.46931,                0.27034,                  1.519,                 1.1568,                 1.3903,             0.00084679,             0.00084679,             0.00084679
                     41,                 1.5834,                 1.0698,                 1.3018,                0.74112,                 0.4463,                0.46672,                0.25755,                 1.5756,                 1.1779,                 1.4114,             0.00084286,             0.00084286,             0.00084286
                     42,                 1.5913,                 1.0624,                 1.3024,                 0.7364,                0.42038,                0.44926,                0.25333,                 1.5827,                 1.1675,                 1.4247,             0.00083893,             0.00083893,             0.00083893
                     43,                 1.5649,                 1.0585,                  1.302,                  0.715,                0.41865,                0.43622,                0.26169,                  1.512,                  1.227,                 1.3814,               0.000835,               0.000835,               0.000835
                     44,                 1.5678,                 1.0596,                 1.2895,                0.57722,                0.44364,                0.46712,                0.27215,                 1.5129,                 1.1904,                 1.3881,             0.00083107,             0.00083107,             0.00083107
